GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF234;Nursing Science/Nursing Management;2895;9300;12195;148;539;687;3043;9839;12882
WT 2020/21;SF126;Pharmacy;4308;9479;13787;871;1649;2520;5179;11128;16307
WT 2020/21;SF127;Philosophy;9400;7695;17095;1196;1051;2247;10596;8746;19342
WT 2020/21;SF128;Physics;30208;12409;42617;5070;2460;7530;35278;14869;50147
WT 2020/21;SF224;Engineering Physics/Mechanical Process Engineering;2239;643;2882;902;237;1139;3141;880;4021
WT 2020/21;SF129;Political Science;15627;12463;28090;1967;2545;4512;17594;15008;32602
WT 2020/21;SF263;Police/Protection of the Constitution;15456;8535;23991;121;70;191;15577;8605;24182
WT 2020/21;SF206;Polish;21;39;60;5;14;19;26;53;79
WT 2020/21;SF131;Portuguese;38;53;91;8;24;32;46;77;123
WT 2020/21;SF132;Psychology;23677;69510;93187;1773;5815;7588;25450;75325;100775
WT 2020/21;SF109;Communication Studies (cl. with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2020/21;SF134;Spatial Planning;2326;2453;4779;483;721;1204;2809;3174;5983
WT 2020/21;SF256;Administration of Justice;680;2160;2840;-;1;1;680;2161;2841
WT 2020/21;SF135;Law;47725;62112;109837;3308;6140;9448;51033;68252;119285
WT 2020/21;SF310;Renewable Energy;2052;632;2684;851;232;1083;2903;864;3767
WT 2020/21;SF136;Religious Studies;581;958;1539;149;169;318;730;1127;1857
WT 2020/21;SF101;Restoration Studies;178;603;781;10;58;68;188;661;849
WT 2020/21;SF163;Rhythmics;1;14;15;-;3;3;1;17;18
WT 2020/21;SF137;Romance Studies (Rom. Phil., indiv. lang. n.e.c.);541;1712;2253;211;598;809;752;2310;3062
WT 2020/21;SF139;Russian;203;423;626;39;204;243;242;627;869
WT 2020/21;SF254;General Studies (including School Garden);124;544;668;5;21;26;129;565;694
WT 2020/21;SF102;Drama Studies;231;269;500;50;48;98;281;317;598
WT 2020/21;SF142;Naval Architecture/Ship Technology;582;97;679;212;37;249;794;134;928
WT 2020/21;SF361;School Pedagogy;173;346;519;42;63;105;215;409;624
WT 2020/21;SF145;Sinology/Korean Studies;947;1914;2861;175;569;744;1122;2483;3605
WT 2020/21;SF146;Slavic Studies (Slavic Philology);343;650;993;94;376;470;437;1026;1463
WT 2020/21;SF190;Special Needs Education;2820;14291;17111;48;313;361;2868;14604;17472
WT 2020/21;SF290;Other subjects;1056;1365;2421;594;581;1175;1650;1946;3596
WT 2020/21;SF036;Other regional studies;158;238;396;35;108;143;193;346;539
WT 2020/21;SF041;Other orientation studies;-;-;-;-;-;-;-;-;-
WT 2020/21;SF207;Sorabistics;4;19;23;3;5;8;7;24;31
WT 2020/21;SF208;Social Work;15916;52320;68236;1045;3316;4361;16961;55636;72597
WT 2020/21;SF147;Social Studies;1758;1879;3637;74;121;195;1832;2000;3832
WT 2020/21;SF046;Soc. Med./Pub. Health (cl. with SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2020/21;SF245;Social Pedagogy;1951;8598;10549;49;321;370;2000;8919;10919
WT 2020/21;SF264;Social Security Administration;697;1649;2346;65;73;138;762;1722;2484
WT 2020/21;SF253;Applied Social Science;5683;19130;24813;371;1074;1445;6054;20204;26258
WT 2020/21;SF148;Social Sciences;8390;11890;20280;948;1615;2563;9338;13505;22843
WT 2020/21;SF149;Sociology;6429;11423;17852;702;1508;2210;7131;12931;20062
WT 2020/21;SF150;Spanish;1111;3240;4351;212;636;848;1323;3876;5199
WT 2020/21;SF166;Sports Management/Sports Economics;6793;3076;9869;501;179;680;7294;3255;10549
WT 2020/21;SF098;Sports Education/Sports Psychology;6264;4412;10676;146;96;242;6410;4508;10918
WT 2020/21;SF029;Sports Science;11477;7351;18828;736;462;1198;12213;7813;20026
WT 2020/21;SF151;Speech Therapy/Logopedics (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF429;Steel Construction;66;10;76;4;-;4;70;10;80
WT 2020/21;SF312;Statistics;1608;990;2598;817;478;1295;2425;1468;3893
WT 2020/21;SF196;Foundation Course;-;-;-;-;-;-;-;-;-
WT 2020/21;SF153;South Slavic (Bulgar., Serbo-Croat., Slovene etc.);3;6;9;2;1;3;5;7;12
WT 2020/21;SF106;Dance Education;25;124;149;92;173;265;117;297;414
WT 2020/21;SF144;Technical Cybernetics;348;82;430;43;10;53;391;92;483
WT 2020/21;SF118;Technomathematics;1656;484;2140;234;103;337;1890;587;2477
WT 2020/21;SF116;Textile Design;476;2126;2602;70;403;473;546;2529;3075
WT 2020/21;SF225;Textile and Clothing Technology/Industry;439;1963;2402;212;275;487;651;2238;2889
WT 2020/21;SF155;Theatre Studies;729;2103;2832;90;294;384;819;2397;3216
WT 2020/21;SF156;Veterinary Medicine;1035;6199;7234;149;548;697;1184;6747;7931
WT 2020/21;SF371;Animal Production;75;233;308;27;22;49;102;255;357
WT 2020/21;SF194;Sound Engineering;388;58;446;63;15;78;451;73;524
